seq1	4p12.1	(45.6,69.2)
seq235	19q11.13	(18.0,52.7)
seq236	10p15.12	(19.9,66.8)
seq237	16p5.7	(40.7,62.6)
seq238	4q3.4	(36.4,15.7)
seq239	4q15.12	(92.6,31.4)
seq240	18q5.10	(61.2,73.5)
seq241	10p10.14	(67.1,73.7)
seq242	10p8.13	(98.2,31.7)
seq243	15p10.5	(95.5,74.6)
seq244	3p11.9	(86.6,37.5)
seq245	9q13.6	(64.6,31.9)
seq246	18q4.5	(84.6,24.4)
seq247	9q9.7	(68.9,66.8)
seq248	18p10.14	(66.6,76.8)
seq249	17q15.7	(92.4,15.7)
seq250	8p6.5	(69.4,79.0)
seq251	17p8.8	(3.9,64.5)
seq252	15p15.13	(59.9,82.4)
seq253	18q15.5	(78.0,22.0)
seq254	13p15.10	(82.0,93.3)
seq255	13q11.5	(84.1,22.4)
seq256	22p6.6	(82.9,5.7)
seq257	10p7.2	(82.8,89.3)
seq258	14q13.12	(52.1,7.9)
seq259	6p10.15	(31.1,13.4)
seq260	5q5.5	(97.7,67.3)
seq261	5q7.12	(58.5,15.1)
seq262	8p14.12	(38.3,6.4)
seq263	10p3.14	(43.8,18.6)
seq264	5q6.5	(22.1,27.7)
seq265	2q11.13	(40.6,14.7)
seq266	13p2.2	(21.3,43.4)
seq267	8p13.15	(19.3,73.8)
seq268	11q15.2	(95.1,16.7)
seq269	16q6.15	(48.7,38.1)
seq270	22q8.11	(1.1,21.8)
seq271	2p11.12	(97.1,32.4)
seq272	8p2.13	(27.3,54.6)
seq273	17p11.15	(79.9,38.8)
seq274	17q5.9	(87.2,0.6)
seq275	3q4.5	(57.3,59.8)
seq276	6p14.11	(0.5,78.5)
seq277	12p4.2	(14.7,81.5)
seq278	17p11.15	(61.8,82.1)
seq279	3p14.5	(71.1,4.8)
seq280	16p8.10	(7.6,27.2)
seq281	21q10.12	(45.4,51.3)
seq282	15q12.9	(53.5,42.0)
seq283	7q3.8	(90.2,93.5)
seq284	4q3.9	(43.9,6.2)
seq285	7p8.5	(61.4,44.1)
seq286	21p1.13	(91.6,96.4)
seq287	19q2.2	(88.8,30.9)
seq288	4q4.3	(8.2,17.8)
seq289	17q11.8	(75.9,51.9)
seq290	16p10.8	(79.5,62.7)
seq291	21q14.4	(31.4,21.7)
seq292	4q15.6	(52.0,48.6)
seq293	14q4.13	(22.7,29.9)
seq294	13q8.8	(47.3,99.4)
seq295	17p8.14	(95.0,40.1)
seq296	15p9.8	(4.2,98.9)
seq297	19q12.8	(86.9,11.1)
seq298	21q3.3	(48.6,32.0)
seq299	4q10.2	(40.7,45.4)
seq300	11p4.15	(36.7,16.5)
seq301	10q10.9	(56.1,20.4)
seq302	18q3.1	(53.5,10.1)
seq303	6q15.14	(43.6,83.6)
seq304	19q11.5	(87.7,25.0)
seq305	11p15.10	(95.7,46.5)
seq306	7p5.1	(77.2,36.1)
seq307	7q15.14	(57.5,36.4)
seq308	1p1.8	(86.8,61.9)
seq309	8q9.2	(70.0,86.3)
seq310	15p7.5	(31.8,90.4)
seq311	2p13.6	(44.3,85.9)
seq312	7p15.2	(83.4,61.8)
seq313	13p9.15	(98.4,90.4)
seq314	19p13.15	(48.7,43.4)
seq315	12p2.9	(63.1,18.9)
seq316	8p5.9	(41.3,21.3)
seq317	13p1.13	(70.8,12.3)
seq318	11q10.15	(80.2,84.9)
seq319	21q4.7	(86.6,14.2)
seq320	20p14.3	(37.1,30.3)
seq321	20p8.10	(63.4,80.7)
seq322	2p7.14	(46.5,27.9)
seq323	18p6.3	(67.5,1.1)
seq324	10p12.12	(3.0,55.4)
seq325	5p4.5	(67.5,27.1)
seq326	14p1.2	(19.3,15.5)
seq327	20q13.13	(15.3,45.4)
seq328	7q8.2	(26.9,44.5)
seq329	17p1.2	(74.5,41.8)
seq330	7q8.9	(80.3,99.5)
seq331	22p5.13	(57.7,61.6)
seq332	17p2.14	(97.1,72.7)
seq333	2p11.15	(36.3,59.3)
seq334	4p13.8	(81.0,44.5)
seq335	3q3.9	(39.7,41.2)
seq336	8p7.6	(21.6,40.1)
seq337	2q13.3	(11.6,81.2)
seq338	10q5.11	(9.4,17.3)
seq339	3q7.13	(61.4,57.4)
seq340	11p5.13	(10.5,53.9)
seq341	11p14.6	(51.4,94.4)
seq342	14p15.9	(98.5,47.6)
seq343	2p2.11	(83.2,21.5)
seq344	6q14.5	(28.3,86.7)
seq345	19p9.2	(100.0,67.7)
seq346	7p10.14	(82.2,40.6)
seq347	10p4.2	(21.0,18.6)
seq348	1q10.7	(49.3,27.6)
seq349	15p12.6	(86.9,50.3)
seq350	21q7.9	(98.6,67.1)
seq351	8p2.6	(57.7,51.0)
seq352	18q6.3	(91.8,92.8)
seq353	5p9.8	(50.1,49.5)
seq354	22p9.15	(10.8,21.9)
seq355	16q1.9	(43.2,36.7)
seq356	4q8.9	(70.9,68.4)
seq357	12p7.6	(81.6,59.6)
seq358	2p2.14	(47.3,73.8)
seq359	17q11.6	(16.9,45.0)
seq360	8q12.7	(86.4,52.9)
seq361	21p6.6	(6.8,15.1)
seq362	11p10.4	(38.3,16.6)
seq363	13q8.6	(7.8,20.7)
seq364	5p8.2	(7.0,94.5)
seq365	12q1.7	(40.1,14.1)
seq366	14p3.11	(94.6,35.3)
seq367	7q9.10	(51.8,7.6)
seq368	21p3.15	(77.2,2.8)
seq369	20q2.9	(27.2,1.6)
seq370	14q5.4	(41.3,22.0)
seq371	19p6.4	(44.3,32.3)
seq372	4q4.8	(70.6,34.4)
seq373	18q5.8	(39.6,95.6)
seq374	6p2.14	(91.8,81.6)
seq375	7q9.12	(30.8,56.8)
seq376	10q1.9	(35.8,12.5)
seq377	9q8.15	(11.3,77.5)
seq378	13p13.1	(58.0,6.4)
seq379	20p3.4	(39.3,53.9)
seq380	13p8.10	(60.7,39.5)
seq381	14q12.14	(37.4,81.4)
seq382	1q4.1	(44.5,84.4)
seq383	22q10.14	(34.3,17.3)
seq384	3p13.7	(74.4,88.4)
seq385	6q7.9	(85.8,55.4)
seq386	10q11.15	(82.3,9.3)
seq387	2p4.11	(79.1,39.2)
seq388	14p7.4	(45.6,73.7)
seq389	18p11.11	(61.8,36.5)
seq390	4q2.14	(61.7,23.9)
seq391	13p5.5	(95.4,89.7)
seq392	5p12.4	(18.0,57.9)
seq393	7p2.6	(67.3,90.1)
seq394	16q14.6	(16.8,61.6)
seq395	10q1.1	(67.6,67.2)
seq396	2p3.4	(32.3,49.9)
seq397	21q9.12	(55.1,58.4)
seq398	14q12.9	(53.6,86.5)
seq399	19p12.6	(23.6,91.1)
seq400	1p7.9	(18.3,70.7)
seq401	17q7.2	(72.3,11.4)
seq402	9p4.2	(25.6,62.2)
seq403	3p4.11	(10.3,44.5)
seq404	20q9.15	(89.8,47.6)
seq405	9q6.9	(40.9,23.3)
seq406	15p8.2	(46.2,95.7)
seq407	3p2.6	(6.7,7.8)
seq408	9q6.10	(36.4,94.1)
seq409	15p10.1	(83.5,79.9)
seq410	3q9.14	(36.1,35.8)
seq411	13q15.7	(22.0,15.9)
seq412	22q13.12	(73.6,97.4)
seq413	5q9.1	(67.7,84.3)
seq414	10p10.13	(48.4,78.6)
seq415	19p9.3	(17.9,40.2)
seq416	15p14.8	(67.9,24.8)
seq417	5p5.9	(99.7,93.0)
seq418	21p12.4	(65.2,33.3)
seq419	13p14.4	(81.8,13.2)
seq420	22p1.6	(30.7,46.9)
seq421	11p4.2	(94.9,13.4)
seq422	5q3.13	(3.9,3.8)
seq423	6p1.15	(37.1,42.4)
seq424	10p11.10	(69.4,21.9)
seq425	21q5.11	(93.2,25.8)
seq426	8p12.1	(58.5,33.8)
seq427	14q1.14	(44.7,39.9)
seq428	8q2.8	(45.6,12.4)
seq429	18p10.6	(52.6,79.0)
seq430	9q6.5	(45.4,85.4)
seq431	22q8.5	(56.4,73.0)
seq432	5p2.7	(56.3,50.5)
seq433	9q10.12	(26.2,4.4)
seq434	9p3.8	(87.0,48.9)
seq435	20q1.2	(79.8,79.2)
seq436	20q6.11	(72.9,18.6)
seq437	20p9.10	(75.8,55.7)
seq438	18q1.9	(46.1,31.0)
seq439	20p6.5	(71.7,20.0)
seq440	21p3.10	(48.8,9.8)
seq441	12q5.2	(9.0,4.8)
seq442	10p12.11	(78.9,89.3)
seq443	22q15.13	(1.7,71.7)
seq444	20p2.10	(72.4,84.7)
seq445	2p3.4	(97.4,9.8)
seq446	2q11.9	(4.1,14.6)
seq447	5p11.5	(80.2,51.3)
seq448	18q6.10	(8.5,11.0)
seq449	8q15.12	(13.9,84.7)
seq450	5p4.9	(49.3,98.0)
seq451	19q9.13	(79.1,41.8)
seq452	13q6.11	(42.3,63.3)
seq453	17q14.10	(61.1,45.7)
seq454	19p5.12	(1.9,1.7)
seq455	6q14.10	(3.4,57.7)
seq456	6p5.6	(25.2,67.6)
seq457	13q14.10	(84.5,75.0)
seq458	2q15.13	(63.3,27.4)
seq459	11q5.7	(18.6,58.6)
seq460	20q7.15	(73.6,75.4)
seq461	1q9.1	(21.4,91.0)
seq462	19q13.5	(83.8,34.4)
seq463	13p7.9	(8.0,83.4)
seq464	2p7.2	(4.8,21.5)
seq465	19q5.3	(40.1,68.6)
seq466	17p6.2	(74.0,74.5)
seq467	2p3.6	(2.7,2.4)
seq468	19p9.2	(53.0,28.1)
seq469	8p12.1	(32.4,76.0)
seq470	20q2.8	(43.2,91.1)
seq471	17p12.5	(50.7,28.6)
seq472	11p6.8	(9.6,19.8)
seq473	16p7.5	(95.5,5.5)
seq474	21q1.1	(82.6,10.1)
seq475	12q4.6	(48.5,88.5)
seq476	22p3.11	(87.9,59.1)
seq477	22q13.2	(29.9,67.0)
seq478	10p5.9	(88.5,46.0)
seq479	13p2.13	(65.3,6.2)
seq480	18p15.1	(54.4,63.1)
seq481	3q8.15	(42.9,73.8)
seq482	6p2.11	(1.9,17.1)
seq483	16p11.4	(48.7,71.8)
seq484	3q11.14	(0.7,0.8)
seq485	7q8.14	(98.6,69.7)
seq486	12q13.14	(48.0,21.4)
seq487	12q14.6	(34.9,69.7)
seq488	2p13.10	(56.9,59.4)
seq489	20q13.10	(7.5,74.7)
seq490	5p4.10	(73.7,67.6)
seq491	6q3.2	(40.4,70.1)
seq492	10q3.6	(50.6,87.0)
seq493	18p10.10	(83.6,98.8)
seq494	3p5.2	(29.1,96.8)
seq495	5q6.7	(52.9,89.9)
seq496	2p6.3	(87.2,15.3)
seq497	6q12.8	(24.3,56.9)
seq498	19q1.8	(3.7,14.9)
seq499	17q14.11	(53.1,56.9)
seq500	22q9.9	(22.9,9.7)
seq501	19p8.13	(72.7,95.9)
seq502	20q2.13	(65.1,83.5)
seq503	18p7.2	(18.3,71.2)
seq504	13q3.8	(38.4,26.6)
seq505	17p15.6	(1.6,11.8)
seq506	7q13.3	(8.2,56.9)
seq507	17p9.1	(75.8,23.8)
seq508	11q3.3	(68.7,71.0)
seq509	5q6.9	(88.7,82.0)
seq510	12q8.10	(30.6,25.6)
seq511	17q5.13	(90.8,12.2)
seq512	15p14.10	(44.5,26.6)
seq513	3p7.8	(47.0,55.8)
seq514	4q8.13	(33.7,50.8)
seq515	8q14.7	(56.8,14.1)
seq516	12q7.9	(39.0,45.2)
seq517	12q15.5	(48.8,20.8)
seq518	18p3.4	(42.0,31.1)
seq519	3p11.6	(80.1,76.9)
seq520	22q1.12	(36.8,45.7)
seq521	12q12.12	(30.3,58.6)
seq522	3q8.10	(46.6,62.5)
seq523	17p4.2	(47.0,86.8)
seq524	18q3.12	(45.9,85.2)
seq525	19p10.13	(84.0,35.1)
seq526	7q4.5	(12.6,97.8)
seq527	11q10.7	(75.7,53.5)
seq528	5p11.14	(29.9,2.1)
seq529	3p4.13	(49.8,63.5)
seq530	14q7.6	(32.8,87.4)
seq531	9p5.10	(22.4,98.7)
seq532	11q5.13	(76.5,17.2)
seq533	3q13.3	(2.0,49.4)
seq534	22p2.14	(84.8,74.8)
seq535	18p3.12	(93.9,27.5)
seq536	8q6.11	(85.1,40.5)
seq537	14p3.3	(38.6,20.2)
seq538	19p3.15	(3.5,24.3)
seq539	9q12.10	(29.4,24.3)
seq540	8q12.1	(94.3,67.8)
seq541	3q10.6	(81.5,18.8)
seq542	11q2.8	(43.7,10.9)
seq543	15q3.7	(44.5,35.4)
seq544	22p1.7	(23.0,13.5)
seq545	12q3.10	(2.5,31.6)
seq546	8p3.15	(59.5,69.7)
seq547	15q9.3	(32.7,28.0)
seq548	15p3.14	(4.3,8.8)
seq549	8q11.2	(81.6,12.6)
seq550	19q5.11	(74.3,49.5)
seq551	5q6.8	(3.0,11.6)
seq552	7p4.13	(17.1,28.3)
seq553	2p12.2	(33.8,68.6)
seq554	20p4.4	(96.0,62.6)
seq555	11p2.13	(53.9,94.3)
seq556	13q15.15	(38.4,58.1)
seq557	15p1.5	(31.4,49.1)
seq558	22p6.15	(21.5,46.4)
seq559	4q11.14	(99.1,44.3)
seq560	20q2.14	(84.9,20.6)
seq561	4p8.10	(52.6,0.8)
seq562	18q5.8	(42.1,40.8)
seq563	2q14.6	(63.7,35.9)
seq564	5q9.3	(47.5,97.6)
seq565	21q12.1	(9.5,60.2)
seq566	11p13.13	(85.0,47.1)
seq567	8q14.8	(66.7,77.5)
seq568	10p11.9	(87.1,21.5)
seq569	8q11.4	(15.9,7.0)
seq570	22p12.9	(8.6,8.2)
seq571	6q15.9	(31.0,40.4)
seq572	9p2.4	(9.8,28.9)
seq573	14q14.15	(35.6,13.8)
seq574	5p12.10	(73.3,33.1)
seq575	6p9.6	(85.4,90.3)
seq576	14p8.1	(73.8,6.9)
seq577	10q2.15	(63.8,53.1)
seq578	4q8.8	(53.7,19.8)
seq579	16q9.9	(91.7,6.6)
seq580	19p5.7	(9.9,2.9)
seq581	22p4.12	(47.7,5.3)
seq582	17q12.13	(91.7,82.9)
seq583	10p4.1	(49.3,81.2)
seq584	4q5.8	(50.5,55.7)
seq585	15p1.11	(13.8,48.1)
seq586	9p1.13	(87.2,66.1)
seq587	2p5.10	(10.5,31.0)
seq588	17p4.2	(10.2,77.2)
seq589	18p5.6	(5.4,94.5)
seq590	17q3.14	(90.7,40.6)
seq591	11p10.14	(1.9,66.4)
seq592	15q7.4	(60.9,54.9)
seq593	16q7.3	(8.5,72.8)
seq594	3q9.13	(51.2,83.1)
seq595	14q12.1	(47.9,6.7)
seq596	2p9.9	(18.0,35.8)
seq597	4q5.9	(39.2,68.5)
seq598	20p10.5	(94.9,52.7)
seq599	7p15.7	(0.4,38.9)
seq600	6q11.4	(53.1,22.5)
seq601	3p8.6	(40.1,6.7)
seq602	2p5.6	(30.7,3.7)
seq603	17q13.1	(38.1,22.4)
seq604	14p14.5	(94.3,35.7)
seq605	2q12.9	(84.0,85.2)
seq606	14q4.5	(92.5,58.1)
seq607	2q4.14	(99.9,98.6)
seq608	22q8.2	(12.7,38.8)
seq609	21q4.3	(73.2,1.0)
seq610	14q14.12	(58.7,90.9)
seq611	17q5.6	(61.5,29.6)
seq612	22p14.9	(72.1,41.6)
seq613	18p6.5	(17.2,98.7)
seq614	18p15.3	(25.7,27.4)
seq615	1p2.3	(96.4,88.0)
seq616	9q9.9	(68.2,33.6)
seq617	4p5.14	(71.4,82.6)
seq618	18p9.14	(62.5,43.6)
seq619	5q4.11	(48.6,76.1)
seq620	21q12.5	(88.6,6.6)
seq621	15q1.7	(9.0,67.7)
seq622	22q14.11	(58.4,42.6)
seq623	3p8.2	(71.2,31.1)
seq624	18q14.13	(11.5,91.1)
seq625	5p8.1	(36.6,50.4)
seq626	12p11.10	(30.1,29.7)
seq627	18p15.11	(74.6,49.0)
seq628	3q3.5	(16.9,87.3)
seq629	2p13.2	(10.5,2.0)
seq630	15q10.12	(80.7,2.9)
seq631	9q15.5	(99.6,92.0)
seq632	12q8.13	(17.7,42.7)
seq633	14q9.2	(60.7,75.3)
seq634	6q13.12	(49.5,64.8)
seq635	6p3.3	(8.2,84.8)
seq636	1p4.10	(26.5,93.5)
seq637	21q15.14	(22.9,71.5)
seq638	17p13.5	(96.8,88.1)
seq639	9q15.3	(33.5,44.3)
seq640	21p2.14	(87.3,10.4)
seq641	6p6.11	(35.2,94.2)
seq642	5q8.7	(94.7,16.1)
seq643	12q14.11	(83.6,41.2)
seq644	2q1.9	(52.6,20.8)
seq645	7p2.10	(56.0,98.5)
seq646	12p5.11	(98.6,61.0)
seq647	3p2.11	(75.8,87.0)
seq648	18q10.8	(25.1,41.0)
seq649	1p10.15	(62.4,46.8)
seq650	16q5.3	(56.3,83.4)
seq651	10p5.5	(58.6,93.8)
seq652	3p11.10	(53.3,89.9)
seq653	11q1.9	(58.5,85.9)
seq654	12q12.13	(78.4,85.8)
seq655	12q7.4	(9.3,40.6)
seq656	5p4.5	(62.7,37.0)
seq657	5q9.4	(16.9,32.5)
seq658	16q5.11	(99.5,35.8)
seq659	17q10.12	(95.2,20.3)
seq660	8q11.7	(64.0,16.4)
seq661	11q3.4	(35.3,23.9)
seq662	8q1.7	(69.2,48.4)
seq663	11q6.7	(49.6,18.7)
seq664	11p9.2	(75.0,8.8)
seq665	8p2.7	(83.0,61.3)
seq666	2q13.12	(58.1,42.9)
seq667	8p2.6	(63.4,40.7)
seq668	5q5.15	(35.8,47.5)
seq669	14q1.5	(60.1,44.6)
seq670	20q11.4	(3.1,31.0)
seq671	16q7.5	(9.1,17.6)
seq672	5q12.8	(34.5,65.0)
seq673	1p7.6	(68.1,82.3)
seq674	13p6.11	(93.4,34.9)
seq675	14q2.1	(27.2,72.3)
seq676	7q8.9	(70.2,59.5)
seq677	8p3.9	(87.4,5.0)
seq678	1q11.14	(6.2,24.3)
seq679	8q13.13	(4.3,65.5)
seq680	9q12.1	(74.1,87.7)
seq681	2p15.8	(97.2,9.9)
seq682	10p11.10	(70.5,0.8)
seq683	16q3.3	(55.9,39.7)
seq684	7q13.4	(67.1,35.2)
seq685	16p6.2	(34.3,25.6)
seq686	2p10.10	(24.7,62.2)
seq687	1p8.11	(77.6,29.1)
seq688	2p9.7	(83.1,17.5)
seq689	20p15.6	(90.3,23.3)
seq690	6q14.9	(75.7,65.9)
seq691	2q11.6	(76.4,82.6)
seq692	20p11.11	(79.2,87.5)
seq693	14q8.1	(28.8,99.2)
seq694	17p15.11	(22.6,95.2)
seq695	20q6.4	(19.8,48.5)
seq696	1q9.7	(90.0,95.4)
seq697	16q15.7	(91.0,79.0)
seq698	4p6.7	(10.9,24.3)
seq699	19p2.9	(51.8,35.9)
