seq1	19q2.3	(24.3,55.8)
seq68	13q1.1	(76.9,2.7)
seq69	7p13.9	(71.6,21.9)
seq70	4p10.9	(39.6,15.9)
seq71	5q4.11	(22.3,11.6)
seq72	6q1.4	(95.0,17.3)
seq73	7q7.6	(26.3,44.2)
seq74	2q2.11	(41.7,46.0)
seq75	9q8.2	(85.0,86.2)
seq76	3q12.2	(6.9,31.8)
seq77	2q9.10	(3.4,56.4)
seq78	4p9.11	(10.4,88.4)
seq79	1q4.6	(96.7,47.2)
seq80	6p10.7	(44.3,19.2)
seq81	19p3.10	(86.1,51.3)
seq82	12q14.8	(30.5,97.2)
seq83	22p11.12	(79.6,60.5)
seq84	12p4.8	(28.9,69.6)
seq85	19q6.4	(73.4,63.3)
seq86	6p13.15	(65.7,34.4)
seq87	14q2.9	(45.5,5.7)
seq88	2q3.4	(84.4,80.6)
seq89	11p4.13	(91.7,11.4)
seq90	11p13.14	(55.6,52.9)
seq91	16p13.1	(60.5,10.5)
seq92	12p10.14	(83.4,30.8)
seq93	5p4.14	(90.6,76.5)
seq94	13p12.11	(25.5,42.8)
seq95	13q4.5	(66.9,91.6)
seq96	20q9.7	(86.1,63.5)
seq97	14q1.2	(56.9,11.2)
seq98	9q1.8	(78.5,26.9)
seq99	18p14.1	(68.5,84.9)
seq100	12p6.6	(53.8,44.8)
seq101	10p6.15	(33.6,33.8)
seq102	1q5.5	(59.9,79.2)
seq103	8p15.6	(56.0,64.2)
seq104	8q15.8	(90.9,83.8)
seq105	16p7.12	(38.4,59.8)
seq106	12q13.14	(55.5,60.5)
seq107	11q6.2	(48.1,9.1)
seq108	20q6.7	(55.6,21.2)
seq109	3q13.3	(81.7,32.9)
seq110	1p2.4	(85.6,57.1)
seq111	9p7.10	(48.9,61.6)
seq112	17p14.3	(77.9,15.1)
seq113	9p3.13	(68.7,83.4)
seq114	20p7.10	(44.7,95.6)
seq115	16p7.7	(58.2,53.9)
seq116	7p14.5	(99.7,52.2)
seq117	18p5.10	(87.0,23.4)
seq118	2q11.1	(53.6,46.1)
seq119	6q4.13	(5.5,46.0)
seq120	1p10.5	(17.0,92.3)
seq121	14p6.8	(65.2,86.5)
seq122	14p1.7	(34.0,69.1)
seq123	13q7.9	(58.8,33.8)
seq124	6q13.5	(84.6,90.1)
seq125	15p1.7	(75.8,83.6)
seq126	15q15.3	(83.1,50.4)
seq127	10p6.10	(23.1,69.8)
seq128	19p5.14	(20.6,69.6)
seq129	8p8.13	(1.1,90.9)
seq130	17q1.3	(49.2,48.1)
seq131	20q9.12	(43.5,71.2)
seq132	7q12.13	(81.1,34.3)
seq133	2p10.9	(22.0,60.0)
seq134	19q8.10	(42.0,38.9)
seq135	15p6.4	(83.6,27.1)
seq136	13p8.12	(85.6,81.7)
seq137	20q13.4	(47.4,53.8)
seq138	7q12.2	(59.2,27.8)
seq139	11p9.8	(45.7,57.8)
seq140	1q12.1	(45.0,75.1)
seq141	2q5.1	(7.1,87.0)
seq142	1p9.1	(46.2,52.1)
seq143	12q14.1	(80.9,69.3)
seq144	13p7.3	(35.4,78.3)
seq145	1p1.9	(17.3,52.3)
seq146	9q11.6	(88.8,35.3)
seq147	2q10.3	(27.0,23.7)
seq148	13q14.10	(92.8,75.7)
seq149	5q15.11	(26.6,18.2)
seq150	16q9.9	(89.2,14.2)
seq151	20p5.4	(16.0,82.9)
seq152	12q4.7	(31.1,77.7)
seq153	4q5.3	(3.1,20.8)
seq154	10p6.13	(38.3,1.8)
seq155	17q3.10	(30.5,30.1)
seq156	7p15.12	(45.7,50.4)
seq157	7q2.5	(50.1,8.7)
seq158	4q7.8	(1.6,40.4)
seq159	6p5.7	(55.0,89.6)
seq160	22q6.12	(9.0,90.4)
seq161	7p13.9	(41.9,73.2)
seq162	8q12.13	(32.9,19.4)
seq163	20q5.7	(92.9,99.0)
seq164	20p15.6	(66.2,19.9)
seq165	19q12.6	(7.6,36.7)
seq166	17p7.10	(73.2,14.0)
seq167	5p12.3	(77.1,3.0)
seq168	13q4.9	(76.9,68.8)
seq169	17q13.3	(17.1,37.9)
seq170	19q8.11	(40.7,54.6)
seq171	6q5.11	(57.0,64.5)
seq172	4q4.15	(36.7,11.2)
seq173	22q10.10	(11.8,58.7)
seq174	20p5.12	(8.0,97.8)
seq175	18p11.15	(99.5,86.0)
seq176	20q7.11	(16.0,97.3)
seq177	3p7.9	(24.0,11.7)
seq178	18q13.7	(26.6,87.8)
seq179	2p6.6	(81.9,40.4)
seq180	20p11.13	(77.7,49.0)
seq181	8q1.8	(81.2,56.3)
seq182	7q1.10	(5.4,33.5)
seq183	2q14.11	(65.2,70.4)
seq184	13p7.1	(3.3,60.0)
seq185	10q2.10	(46.8,91.2)
seq186	11p9.13	(62.3,60.4)
seq187	18q6.2	(45.7,4.2)
seq188	11p12.9	(15.4,46.1)
seq189	19p12.15	(34.2,89.4)
seq190	10q5.5	(30.6,59.5)
seq191	14q14.5	(59.8,84.1)
seq192	21p6.5	(35.7,27.7)
seq193	18q10.11	(41.7,40.8)
seq194	16p4.13	(17.5,99.7)
seq195	2q12.3	(91.8,98.0)
seq196	16q12.13	(62.0,60.0)
seq197	5p4.5	(79.8,9.2)
seq198	4p1.4	(61.8,28.5)
seq199	1q2.7	(22.1,82.5)
seq200	21q4.14	(86.1,97.0)
seq201	10q5.6	(84.9,90.5)
seq202	8p10.7	(25.1,77.1)
seq203	17q11.11	(13.7,95.6)
seq204	22q3.5	(26.6,19.4)
seq205	9p7.8	(28.5,43.9)
seq206	15q11.12	(69.7,26.3)
seq207	17p13.15	(60.8,37.7)
seq208	20p13.13	(43.8,6.1)
seq209	7p6.2	(28.5,36.0)
seq210	10q3.15	(49.5,80.1)
seq211	9p9.12	(29.6,64.0)
seq212	21q2.10	(7.7,36.9)
seq213	2p13.4	(10.6,0.5)
seq214	15q7.2	(45.9,31.4)
seq215	3q6.1	(4.7,18.7)
seq216	1q9.4	(51.8,46.7)
seq217	11p9.3	(42.0,29.5)
seq218	18q2.5	(47.2,64.0)
seq219	11q2.12	(82.5,34.4)
seq220	8p3.15	(99.4,95.5)
seq221	20p2.15	(30.9,32.3)
seq222	9p7.10	(3.3,54.5)
seq223	8q1.11	(22.5,31.4)
seq224	4p9.9	(77.6,61.6)
seq225	3q8.11	(33.9,83.2)
seq226	13q13.12	(17.5,60.5)
seq227	5p9.13	(73.5,52.8)
seq228	10p13.12	(69.5,1.1)
seq229	3q13.14	(2.9,12.9)
seq230	8p8.12	(78.4,35.0)
seq231	6p4.7	(86.4,55.0)
seq232	6q1.7	(50.1,64.9)
seq233	13q5.13	(11.1,7.4)
seq234	10q3.5	(81.1,77.6)
seq235	9p3.10	(0.7,28.5)
seq236	17q1.5	(3.8,39.1)
seq237	1q8.4	(49.5,24.9)
seq238	7q12.2	(79.9,47.8)
seq239	1p10.2	(26.8,54.7)
seq240	4q3.12	(52.5,3.1)
seq241	18q9.8	(77.3,19.3)
seq242	17p6.10	(40.9,13.2)
seq243	18p14.8	(98.9,50.1)
seq244	15p12.4	(32.7,18.5)
seq245	1p5.11	(90.4,84.5)
seq246	7p6.13	(93.5,66.0)
seq247	9q5.15	(37.3,80.3)
seq248	18q8.12	(25.6,40.6)
seq249	18q2.15	(79.3,68.7)
seq250	2q13.8	(39.5,6.8)
seq251	14q6.1	(78.9,40.2)
seq252	12q4.7	(23.4,30.2)
seq253	18q14.10	(65.6,72.5)
seq254	10q14.11	(33.8,21.1)
seq255	10q15.14	(30.2,76.6)
seq256	14p3.2	(57.8,84.8)
seq257	9p1.14	(51.9,96.3)
seq258	14p12.10	(74.7,18.0)
seq259	13p10.11	(45.1,46.2)
seq260	4p6.9	(68.0,40.2)
seq261	14q3.3	(0.2,58.2)
seq262	8p12.1	(4.9,80.8)
seq263	12p9.15	(55.8,79.9)
seq264	14q12.10	(56.4,44.8)
seq265	12p12.4	(6.9,97.5)
seq266	3p2.1	(36.7,18.3)
seq267	21p11.2	(24.5,60.6)
seq268	22p8.3	(1.7,9.3)
seq269	11q5.3	(24.9,70.2)
seq270	5p11.14	(49.7,20.9)
seq271	16p8.10	(87.3,85.0)
seq272	7p9.2	(91.7,62.8)
seq273	1q12.12	(34.9,50.4)
seq274	8q12.15	(46.1,68.4)
seq275	6q12.10	(83.3,87.3)
seq276	15p7.9	(42.3,43.5)
seq277	1q12.3	(24.2,41.3)
seq278	2q8.3	(2.0,58.1)
seq279	14p4.13	(35.2,68.7)
seq280	22p11.10	(18.5,17.9)
seq281	19q15.8	(34.2,5.2)
seq282	18p5.6	(51.2,6.9)
seq283	12p2.3	(45.0,59.8)
seq284	11q5.13	(56.3,11.5)
seq285	6p4.12	(83.0,55.3)
seq286	20q2.11	(59.6,65.8)
seq287	21p3.8	(96.1,9.2)
seq288	7q2.11	(68.6,48.2)
seq289	8q12.15	(70.9,37.1)
seq290	18q4.4	(92.4,56.2)
seq291	20p1.13	(44.8,86.2)
seq292	19q1.14	(59.7,94.5)
seq293	7p10.15	(70.3,52.8)
seq294	17q3.7	(38.7,62.6)
seq295	20q13.8	(35.5,83.8)
seq296	3p5.12	(79.8,95.8)
seq297	9p11.8	(18.5,5.4)
seq298	6p14.2	(17.6,71.2)
seq299	3q5.11	(97.0,31.2)
seq300	12p15.12	(29.8,7.2)
seq301	14p15.3	(42.1,76.7)
seq302	16q9.14	(0.6,27.9)
seq303	15p1.13	(30.5,33.2)
seq304	10q5.8	(7.8,43.4)
seq305	22p15.8	(60.2,63.8)
seq306	12q8.14	(61.4,46.1)
seq307	17p1.3	(36.4,39.6)
seq308	16q9.8	(11.0,84.0)
seq309	11q11.8	(52.6,25.4)
seq310	13q10.4	(70.8,60.7)
seq311	4q5.11	(73.0,38.8)
seq312	16p3.3	(8.3,98.1)
seq313	19p14.15	(39.3,72.4)
seq314	10q12.3	(52.8,97.0)
seq315	22q11.14	(1.5,85.1)
seq316	14p1.2	(82.3,97.4)
seq317	20p3.3	(45.1,43.9)
seq318	18q1.8	(72.5,37.6)
seq319	5q11.15	(20.5,6.5)
seq320	11q8.4	(2.1,0.8)
seq321	9p8.9	(34.3,45.9)
seq322	14q15.1	(7.4,3.1)
seq323	9p2.8	(25.3,13.6)
seq324	16q12.13	(34.2,2.1)
seq325	9p11.13	(85.8,76.0)
seq326	14p8.1	(63.3,52.2)
seq327	3q1.15	(49.8,40.9)
seq328	15p7.2	(37.1,39.7)
seq329	13p15.3	(72.5,39.0)
seq330	10q13.11	(41.6,73.7)
seq331	15q8.14	(92.9,49.5)
seq332	12p11.4	(52.0,92.8)
seq333	7q12.1	(45.1,25.0)
seq334	8p8.15	(95.0,10.5)
seq335	19q12.8	(19.5,90.0)
seq336	15p9.4	(59.5,2.2)
seq337	20q10.8	(44.6,67.7)
seq338	13q13.5	(41.1,62.5)
seq339	3q6.11	(76.7,22.3)
seq340	11p15.5	(14.7,1.2)
seq341	16q6.3	(26.7,27.5)
seq342	10p11.6	(21.3,56.5)
seq343	16p2.8	(51.1,14.6)
seq344	16p8.13	(24.9,96.6)
seq345	16p14.14	(47.7,15.3)
seq346	16q12.13	(31.6,55.0)
seq347	9q2.11	(64.4,12.5)
seq348	10p10.9	(2.9,27.6)
seq349	10q14.4	(17.2,78.0)
seq350	3p9.10	(18.5,66.4)
seq351	13p6.1	(67.2,14.3)
seq352	14p2.15	(41.6,48.2)
seq353	16q6.2	(85.1,1.8)
seq354	17p12.8	(9.6,86.1)
seq355	14p3.2	(56.6,38.4)
seq356	16p11.15	(52.0,15.4)
seq357	2q8.4	(64.2,7.0)
seq358	19p5.14	(91.9,39.9)
seq359	18q3.5	(82.7,45.7)
seq360	22p4.14	(30.4,19.2)
seq361	20q3.10	(58.9,47.6)
seq362	13p5.4	(14.0,93.2)
seq363	12q14.13	(33.3,80.9)
seq364	20q2.10	(78.2,55.4)
seq365	13p11.13	(16.7,94.4)
seq366	19p4.5	(31.5,64.0)
seq367	4p3.15	(75.7,91.9)
seq368	14q11.7	(20.2,66.0)
seq369	14p10.14	(84.9,77.6)
seq370	5p11.12	(34.6,46.7)
seq371	17q14.9	(46.3,18.8)
seq372	21p2.7	(72.6,15.2)
seq373	7p3.13	(97.2,73.8)
seq374	2q10.9	(88.8,7.1)
seq375	10q5.14	(65.1,75.6)
seq376	16p9.14	(58.0,71.0)
seq377	19q4.6	(49.9,74.0)
seq378	13p11.8	(85.5,66.5)
seq379	22p7.3	(72.3,82.3)
seq380	13p14.15	(57.2,47.1)
seq381	20p13.13	(89.0,17.4)
seq382	3q9.11	(69.0,37.6)
seq383	5p9.14	(88.1,29.6)
seq384	16q14.3	(90.2,16.0)
seq385	11p1.15	(82.5,41.2)
seq386	16q7.12	(36.6,52.0)
seq387	15q15.8	(99.4,15.6)
seq388	12p7.14	(0.9,31.3)
seq389	16q12.4	(76.3,9.8)
seq390	21p10.13	(19.0,62.2)
seq391	5q6.2	(72.6,71.8)
seq392	14p7.13	(33.4,14.2)
seq393	5q4.5	(58.0,52.9)
seq394	16q7.12	(60.3,71.6)
seq395	6q7.14	(13.3,74.9)
seq396	20q10.13	(82.4,71.0)
seq397	4q7.2	(9.2,50.2)
seq398	22q9.11	(66.8,36.4)
seq399	17p13.6	(8.6,12.9)
seq400	7q14.11	(58.2,96.4)
seq401	15p2.7	(79.8,46.0)
seq402	7p10.10	(56.6,74.0)
seq403	22p8.11	(9.9,47.1)
seq404	9p15.8	(12.3,30.6)
seq405	9p8.6	(97.6,47.6)
seq406	22p1.15	(2.4,9.8)
seq407	19p10.2	(4.4,48.8)
seq408	14q7.12	(87.3,48.5)
seq409	13q6.4	(80.4,87.0)
seq410	6p12.10	(15.9,67.8)
seq411	3p7.8	(8.9,11.6)
seq412	10p1.8	(50.5,43.9)
seq413	16q7.8	(20.3,83.4)
seq414	11p15.10	(99.6,95.7)
seq415	13p5.8	(43.6,62.5)
seq416	8q12.9	(63.0,55.9)
seq417	16p2.3	(5.5,8.5)
seq418	9p9.1	(70.8,48.0)
seq419	16p10.12	(8.4,19.6)
seq420	19q3.6	(96.9,36.3)
seq421	14q1.12	(96.3,70.8)
seq422	9q6.3	(85.0,30.5)
seq423	2q10.9	(76.0,69.0)
seq424	20p6.14	(10.9,37.0)
seq425	13p4.10	(64.3,20.8)
seq426	12p9.15	(42.5,51.5)
seq427	12p3.7	(42.5,11.7)
seq428	9p5.8	(50.6,66.8)
seq429	12p11.11	(92.1,76.0)
seq430	12q8.5	(76.1,35.7)
seq431	18p11.2	(57.7,21.2)
seq432	8p3.7	(66.3,38.0)
seq433	11p12.14	(40.8,45.4)
seq434	22q13.9	(47.3,59.8)
seq435	7q12.14	(40.6,20.0)
seq436	3q10.12	(65.4,28.8)
seq437	14p14.7	(37.9,21.9)
seq438	9p15.5	(58.0,30.6)
seq439	22p15.7	(64.4,30.4)
seq440	11q6.5	(35.5,81.9)
seq441	7q10.11	(80.5,4.6)
seq442	6p10.8	(13.5,84.7)
seq443	3p5.5	(19.3,28.6)
seq444	11p2.1	(76.4,36.2)
seq445	11q2.14	(85.3,41.4)
seq446	18p6.15	(22.8,66.7)
seq447	10q5.9	(29.1,22.1)
seq448	5p9.4	(23.5,82.5)
seq449	16q13.2	(78.0,4.4)
seq450	10q9.15	(20.9,81.4)
seq451	5p7.12	(12.4,44.0)
seq452	4p4.1	(88.9,56.3)
seq453	6p6.13	(83.8,77.7)
seq454	10p3.15	(24.5,30.5)
seq455	13q15.2	(18.7,63.7)
seq456	4q2.10	(35.0,60.6)
seq457	22q6.12	(0.9,45.6)
seq458	9p3.13	(42.8,53.6)
seq459	3p11.15	(51.4,24.5)
seq460	19p9.3	(54.1,33.4)
seq461	12q9.3	(93.4,96.1)
seq462	1p8.15	(82.6,77.7)
seq463	20p3.10	(8.1,51.7)
seq464	12p6.11	(77.6,85.6)
seq465	3q14.4	(11.2,69.8)
seq466	16q12.8	(90.1,8.6)
seq467	3q1.11	(64.3,5.5)
seq468	20p4.10	(48.8,94.6)
seq469	15p6.13	(23.9,66.7)
seq470	5q15.11	(82.4,84.0)
seq471	3p13.9	(32.7,73.4)
seq472	5q5.8	(24.0,58.5)
seq473	7q4.8	(83.0,75.8)
seq474	15p4.1	(87.8,62.9)
seq475	19p15.9	(48.9,93.8)
seq476	20p9.8	(99.1,77.5)
seq477	22q6.5	(63.4,13.3)
seq478	20q4.10	(26.4,67.7)
seq479	12p9.9	(22.8,77.3)
seq480	10p14.1	(74.7,27.7)
seq481	19p5.5	(50.5,98.7)
seq482	11p7.1	(86.7,97.7)
seq483	21p3.10	(26.1,76.3)
seq484	21p7.13	(99.0,45.3)
seq485	4q11.4	(38.3,78.0)
seq486	12p5.4	(31.1,17.1)
seq487	10q7.13	(84.9,47.6)
seq488	20q14.9	(67.1,3.6)
seq489	19p7.2	(25.1,76.3)
seq490	9q4.7	(32.1,86.9)
seq491	10q15.7	(64.5,57.0)
seq492	8p7.3	(29.4,9.2)
seq493	5q10.6	(52.8,10.4)
seq494	17q4.5	(35.5,56.4)
seq495	9p15.1	(12.5,79.3)
seq496	17q14.15	(71.7,98.6)
seq497	14p3.3	(72.0,90.6)
seq498	20q13.3	(27.6,89.6)
seq499	8q14.1	(36.3,35.3)
seq500	9q4.1	(97.8,7.2)
seq501	19p9.15	(56.5,45.8)
seq502	10p6.1	(10.3,46.4)
seq503	9q10.2	(70.5,0.3)
seq504	19p6.15	(45.9,22.1)
seq505	6q4.6	(71.4,53.1)
seq506	20q10.15	(73.2,81.4)
seq507	18p10.9	(63.9,53.2)
seq508	5p3.13	(79.9,6.9)
seq509	19q3.10	(24.4,35.1)
seq510	9q5.14	(5.6,76.6)
seq511	11q7.15	(63.2,45.8)
seq512	15q2.13	(93.9,76.0)
seq513	11p6.9	(84.5,69.5)
seq514	22q12.6	(41.1,41.2)
seq515	12p8.6	(71.7,63.2)
seq516	17q15.15	(73.5,95.9)
seq517	5q4.7	(40.4,72.9)
seq518	15q2.5	(92.9,13.2)
seq519	8q3.14	(17.5,45.7)
seq520	10q10.7	(24.9,87.7)
seq521	15q14.5	(53.0,80.2)
seq522	3q13.1	(73.5,93.8)
seq523	18p1.5	(15.1,71.1)
seq524	10q8.5	(75.1,58.3)
seq525	12p2.14	(72.7,70.5)
seq526	3p1.2	(92.6,86.7)
seq527	12q11.14	(68.3,95.0)
seq528	19p10.15	(73.6,68.3)
seq529	3p9.5	(97.1,87.9)
seq530	19p9.1	(52.6,70.7)
seq531	7p4.15	(7.3,64.5)
seq532	8q10.12	(81.7,54.9)
seq533	7q13.12	(41.7,57.3)
seq534	14p7.12	(9.6,94.7)
seq535	2p3.8	(14.2,67.4)
seq536	12q8.5	(7.4,30.1)
seq537	21q3.9	(97.5,6.0)
seq538	19q15.12	(6.6,86.7)
seq539	17q10.3	(6.5,37.2)
seq540	3q14.11	(58.5,19.6)
seq541	3q11.8	(85.1,95.0)
seq542	22p5.12	(98.0,71.9)
seq543	9p12.4	(22.1,5.6)
seq544	22q11.14	(88.5,69.4)
seq545	4p15.13	(49.7,76.9)
seq546	8p14.7	(94.9,45.3)
seq547	11p1.2	(67.1,1.2)
seq548	10q15.8	(37.1,60.2)
seq549	14q8.10	(20.9,3.6)
seq550	6q2.7	(10.3,67.6)
seq551	6q15.3	(0.8,27.1)
seq552	21q11.4	(49.3,40.5)
seq553	22p1.5	(47.3,29.2)
seq554	18q2.5	(16.1,23.1)
seq555	15q5.15	(4.1,55.8)
seq556	2p6.15	(77.0,58.4)
seq557	6q14.10	(42.5,31.6)
seq558	11q8.5	(79.8,42.7)
seq559	14q10.2	(89.3,76.1)
seq560	21q12.6	(9.1,99.1)
seq561	8p8.12	(63.2,59.6)
seq562	21p8.13	(59.2,84.0)
seq563	16p10.1	(39.3,57.9)
seq564	7p6.2	(73.5,93.7)
seq565	8p8.2	(8.9,3.6)
seq566	5p1.6	(1.9,90.6)
seq567	11q10.13	(74.5,31.4)
seq568	17q7.14	(93.3,82.5)
seq569	17p1.12	(12.9,78.1)
seq570	13p12.14	(12.2,33.9)
seq571	5p1.5	(97.0,2.5)
seq572	5p5.13	(40.3,93.5)
seq573	17p10.12	(1.8,81.0)
seq574	13q11.4	(36.8,59.1)
seq575	2p5.2	(87.4,35.5)
seq576	20p10.11	(97.3,54.7)
seq577	10q13.6	(3.2,39.0)
seq578	11p13.9	(66.7,10.1)
seq579	14p4.12	(13.0,3.5)
seq580	6p5.1	(33.3,87.3)
seq581	18p6.15	(75.4,80.7)
seq582	18q6.11	(7.0,42.2)
seq583	17q7.9	(42.1,48.4)
seq584	9q11.7	(0.0,3.7)
seq585	13q11.14	(20.5,4.7)
seq586	5p11.7	(25.8,98.8)
seq587	20p1.12	(24.3,42.9)
seq588	9q15.8	(14.2,15.2)
seq589	12p10.8	(20.1,79.3)
seq590	13q4.9	(92.9,96.2)
seq591	11p13.4	(42.2,25.6)
seq592	15q14.2	(29.3,99.1)
seq593	15q5.15	(21.7,16.0)
seq594	16q8.7	(45.6,34.4)
seq595	10p14.8	(3.2,26.6)
seq596	13p5.7	(10.1,5.1)
seq597	3p2.2	(62.5,64.2)
seq598	8p7.3	(66.6,20.1)
seq599	7p13.13	(54.4,59.0)
seq600	16p10.1	(54.7,92.3)
seq601	11p6.7	(44.8,7.1)
seq602	22p1.11	(17.7,5.3)
seq603	18q3.2	(93.2,91.6)
seq604	20q15.14	(19.5,88.5)
seq605	13p4.5	(36.7,82.0)
seq606	9q8.15	(54.2,23.4)
seq607	10q9.9	(97.6,98.9)
seq608	11q7.13	(84.7,70.2)
seq609	13q4.10	(64.8,4.1)
seq610	14q1.7	(95.8,56.3)
seq611	14p4.3	(87.6,93.2)
seq612	19q10.10	(81.4,19.9)
seq613	14p9.11	(28.7,98.0)
seq614	22q8.12	(54.4,71.4)
seq615	3p7.4	(81.3,44.9)
seq616	2p10.5	(58.4,62.2)
seq617	7q13.8	(11.6,86.5)
seq618	20p7.3	(46.5,80.2)
seq619	9p8.3	(84.2,34.7)
seq620	12p5.14	(61.2,38.1)
seq621	18p15.1	(47.0,55.8)
seq622	20q13.1	(79.5,71.2)
seq623	21q6.15	(96.6,81.4)
seq624	10q10.7	(84.6,72.2)
seq625	22p11.12	(94.1,53.9)
seq626	9p6.13	(8.6,1.2)
seq627	2q1.7	(27.9,38.2)
seq628	10p14.14	(74.7,78.2)
seq629	1q1.14	(25.4,83.4)
seq630	11p10.15	(30.8,55.3)
seq631	19p5.12	(4.1,61.1)
seq632	7p7.5	(89.5,91.0)
seq633	19p3.15	(18.6,22.7)
seq634	11p1.8	(4.0,58.9)
seq635	10p13.9	(20.8,17.2)
seq636	4p13.6	(95.6,33.3)
seq637	16q10.12	(67.5,75.5)
seq638	19q8.15	(25.5,68.3)
seq639	4p15.6	(17.4,28.6)
seq640	9p3.5	(5.4,47.0)
seq641	5p15.6	(38.4,69.3)
seq642	14q13.1	(85.6,57.7)
seq643	6p3.13	(45.4,9.7)
seq644	1q7.13	(99.8,98.8)
seq645	21p2.1	(92.8,27.0)
seq646	1q8.3	(39.0,81.5)
seq647	6p7.3	(17.5,3.2)
seq648	6p10.8	(93.9,75.2)
seq649	7p2.13	(39.1,35.6)
seq650	5p1.2	(40.4,32.7)
seq651	22p11.5	(42.9,46.5)
seq652	6p6.1	(75.2,98.2)
seq653	15p8.13	(6.1,40.7)
seq654	3p6.12	(26.3,67.8)
seq655	2q10.2	(43.6,87.7)
seq656	7p10.8	(66.2,29.1)
seq657	6q13.3	(88.7,46.8)
seq658	15q1.10	(98.2,9.4)
seq659	7q14.5	(28.4,44.1)
seq660	21p11.6	(13.2,60.7)
seq661	1q4.14	(96.8,11.8)
seq662	11q8.6	(33.8,88.6)
seq663	3p15.4	(24.3,83.5)
seq664	21q11.5	(56.6,58.6)
seq665	12q3.9	(55.8,80.2)
seq666	16p6.10	(96.2,59.6)
seq667	15p13.3	(67.8,52.5)
seq668	11q5.1	(8.8,33.0)
seq669	7q7.5	(86.6,44.0)
seq670	18p4.14	(33.1,31.5)
seq671	8p6.3	(39.6,32.3)
seq672	22q4.8	(74.2,80.7)
seq673	11p9.3	(83.1,1.3)
seq674	13q6.1	(26.8,95.1)
seq675	18p5.12	(3.2,68.5)
seq676	13p13.2	(39.1,56.9)
seq677	17p13.1	(74.2,59.5)
seq678	5q14.9	(24.2,52.7)
seq679	21p14.11	(87.4,9.2)
seq680	5p15.5	(54.1,68.4)
seq681	11q7.14	(52.4,54.2)
seq682	20q5.3	(85.4,29.0)
seq683	17q4.14	(35.9,62.8)
seq684	3p13.8	(47.9,13.7)
seq685	3p5.13	(98.8,85.1)
seq686	2p2.15	(97.9,44.2)
seq687	14q7.11	(41.1,96.8)
seq688	15p1.9	(68.3,83.0)
seq689	21q6.5	(97.0,71.7)
seq690	15p12.15	(11.0,15.0)
seq691	4p1.14	(68.9,81.2)
seq692	17p11.6	(47.5,33.9)
seq693	16p1.6	(0.2,95.3)
seq694	13q7.12	(32.9,49.7)
seq695	3q7.1	(23.1,6.4)
seq696	13p10.4	(97.0,22.3)
seq697	5q13.1	(52.1,13.4)
seq698	4p6.13	(67.8,51.3)
seq699	5p9.3	(3.1,22.9)
