seq1	12q8.7	(6.4,30.1)
seq57	10q1.13	(28.8,26.1)
seq58	1q14.11	(23.5,9.6)
seq59	15q3.4	(19.0,10.2)
seq60	19p11.9	(28.3,21.5)
seq61	6q2.6	(30.1,17.8)
seq62	8p2.6	(17.7,5.5)
seq63	20p15.8	(22.6,13.5)
seq64	1q7.11	(10.5,3.6)
seq65	5p14.9	(26.1,20.1)
seq66	10p6.15	(0.2,21.9)
seq67	9q1.14	(9.5,18.5)
seq68	18p15.15	(17.1,13.9)
seq69	18p2.11	(4.1,28.7)
seq70	18p11.5	(0.2,20.7)
seq71	9q8.3	(3.6,5.9)
seq72	2q6.12	(9.4,3.3)
seq73	3q4.13	(23.1,18.2)
seq74	13p6.9	(31.2,18.4)
seq75	12p3.4	(21.8,1.4)
seq76	13p1.11	(12.4,9.1)
seq77	16p10.12	(22.2,3.8)
seq78	20q4.8	(9.4,4.1)
seq79	7p9.9	(5.2,23.9)
seq80	9p12.5	(2.4,11.3)
seq81	14p15.14	(18.5,16.9)
seq82	22p3.5	(18.2,15.5)
seq83	20p10.15	(14.5,30.0)
seq84	14p7.9	(20.9,20.2)
seq85	6p14.8	(24.5,11.8)
seq86	20q2.14	(4.2,4.4)
seq87	3q11.3	(22.3,18.5)
seq88	7p12.15	(19.9,31.2)
seq89	21p12.15	(2.0,1.9)
seq90	19q2.12	(13.0,29.3)
seq91	17q1.8	(30.0,4.8)
seq92	15q1.14	(4.9,8.8)
seq93	5p4.1	(25.2,8.5)
seq94	9q6.7	(8.5,22.7)
seq95	9q15.3	(25.9,28.0)
seq96	14p1.8	(30.1,24.9)
seq97	10q2.15	(6.9,11.6)
seq98	7q8.15	(29.6,31.0)
seq99	22p3.15	(30.1,28.3)
seq100	20q15.12	(26.0,14.3)
seq101	2q11.1	(10.9,30.1)
seq102	9q7.3	(25.7,1.7)
seq103	19p2.9	(18.2,5.6)
seq104	7q15.13	(7.5,27.7)
seq105	19p13.11	(26.6,15.0)
seq106	11q6.15	(6.1,4.7)
seq107	1q12.6	(19.8,17.6)
seq108	12p10.10	(23.8,11.1)
seq109	7p1.12	(21.9,29.2)
seq110	15q5.10	(26.1,6.6)
seq111	19q7.9	(10.4,15.5)
seq112	1q6.4	(10.1,14.6)
seq113	20p12.13	(23.4,26.9)
seq114	12p5.9	(13.2,27.5)
seq115	21p9.4	(17.1,27.4)
seq116	17p6.2	(25.9,28.0)
seq117	11q13.10	(17.8,1.1)
seq118	20p13.12	(16.1,18.0)
seq119	15p11.13	(15.2,1.8)
seq120	20p6.12	(2.8,19.0)
seq121	6q5.9	(21.4,5.1)
seq122	6q14.15	(17.3,26.5)
seq123	7q10.6	(16.1,10.9)
seq124	19q12.2	(22.0,27.2)
seq125	13p8.5	(20.9,12.9)
seq126	21q2.7	(20.4,14.0)
seq127	10p3.6	(4.9,3.7)
seq128	11p4.1	(4.8,31.6)
seq129	3p14.2	(14.8,30.4)
seq130	15p7.10	(26.7,30.0)
seq131	10p13.11	(2.1,12.7)
seq132	8q13.3	(7.8,29.6)
seq133	18q11.5	(11.8,3.1)
seq134	14p12.8	(26.7,25.7)
seq135	19q6.9	(2.6,0.8)
seq136	22p11.6	(4.7,17.1)
seq137	12p1.11	(28.2,10.0)
seq138	19q10.7	(4.7,5.8)
seq139	9q5.9	(31.0,2.7)
seq140	12q14.2	(2.1,0.4)
seq141	21p8.14	(27.3,6.1)
seq142	22p6.4	(12.7,18.8)
seq143	12q10.6	(22.1,30.1)
seq144	2q2.6	(26.5,15.5)
seq145	17q9.1	(6.2,22.9)
seq146	22p6.6	(13.2,8.2)
seq147	4p8.3	(16.5,7.8)
seq148	13p13.14	(0.5,18.7)
seq149	11q10.13	(21.0,26.0)
seq150	11p15.6	(12.0,7.7)
seq151	15q4.14	(2.7,13.0)
seq152	8q11.14	(19.6,5.4)
seq153	9p5.6	(20.3,3.8)
seq154	5q8.9	(27.8,6.8)
seq155	14q12.12	(11.7,21.1)
seq156	22p12.14	(1.0,27.0)
seq157	12q15.12	(2.0,11.4)
seq158	7p13.5	(24.4,24.2)
seq159	12q11.11	(16.4,3.4)
seq160	7p7.14	(25.6,14.9)
seq161	2p4.2	(31.1,8.0)
seq162	20p15.3	(6.3,23.4)
seq163	20q5.11	(4.8,14.4)
seq164	5q6.9	(4.0,31.5)
seq165	14p13.10	(18.0,30.5)
seq166	5p8.15	(26.9,28.6)
seq167	5q11.12	(22.1,3.8)
seq168	1p13.8	(31.2,0.4)
seq169	7q1.10	(25.5,19.9)
seq170	1p9.7	(30.8,20.0)
seq171	8p5.15	(27.4,31.3)
seq172	3p13.13	(24.5,9.8)
seq173	6p4.4	(30.5,0.4)
seq174	7q7.2	(23.9,8.9)
seq175	6p1.8	(3.2,18.9)
seq176	13q4.4	(10.1,13.0)
seq177	22p14.4	(21.6,30.0)
seq178	18q5.12	(25.5,17.4)
seq179	17p10.14	(11.9,27.0)
seq180	1q8.13	(20.2,19.0)
seq181	14p12.15	(10.1,13.8)
seq182	11q3.14	(5.5,14.8)
seq183	3p9.1	(0.3,4.0)
seq184	18q2.13	(18.3,1.0)
seq185	19p8.8	(21.6,7.3)
seq186	12q14.1	(11.6,27.2)
seq187	13p7.9	(9.0,24.9)
seq188	4p11.4	(24.5,14.4)
seq189	12p8.2	(7.9,21.8)
seq190	5p8.1	(16.9,3.2)
seq191	22q14.2	(18.6,17.2)
seq192	22q6.13	(12.1,19.5)
seq193	10p1.15	(6.5,25.3)
seq194	18q13.13	(30.5,1.7)
seq195	13q9.12	(28.7,1.7)
seq196	6q12.6	(24.5,31.3)
seq197	1q11.7	(6.2,20.8)
seq198	22q11.12	(6.6,17.9)
seq199	16p1.4	(28.7,21.7)
seq200	19p2.5	(11.4,29.4)
seq201	12p4.13	(7.0,6.5)
seq202	17q9.9	(7.0,29.0)
seq203	22p12.8	(22.6,9.4)
seq204	21q13.5	(19.3,3.4)
seq205	11p13.8	(2.2,29.2)
seq206	22p3.5	(20.5,17.1)
seq207	7p11.12	(4.3,13.0)
seq208	11p2.11	(0.7,5.1)
seq209	12p8.10	(6.1,3.1)
seq210	10q8.6	(15.5,7.3)
seq211	15q4.5	(2.2,6.6)
seq212	8q6.2	(27.4,28.4)
seq213	7q6.7	(6.8,12.3)
seq214	15p15.14	(6.4,28.0)
seq215	19q5.15	(21.7,7.6)
seq216	1q10.8	(7.9,25.3)
seq217	21q14.12	(21.3,10.6)
seq218	3p8.14	(13.3,6.0)
seq219	3p4.11	(18.9,25.0)
seq220	1q3.5	(21.6,21.8)
seq221	2q11.8	(22.0,14.5)
seq222	6q3.4	(9.5,26.7)
seq223	13p9.15	(14.6,6.9)
seq224	8q12.12	(12.4,16.6)
seq225	8q8.12	(26.9,17.2)
seq226	9q15.15	(3.6,28.3)
seq227	5q5.2	(4.6,13.4)
seq228	11p5.7	(26.2,22.0)
seq229	3q7.4	(11.7,22.7)
seq230	20q10.15	(25.9,22.3)
seq231	17p15.5	(30.7,20.7)
seq232	13p13.5	(12.6,27.5)
seq233	7q8.14	(21.1,16.8)
seq234	11q14.15	(22.9,8.4)
seq235	16p7.14	(9.3,28.8)
seq236	12p6.13	(30.2,26.1)
seq237	5p3.5	(29.4,8.9)
seq238	22p1.6	(0.1,25.6)
seq239	7q10.4	(25.4,5.8)
seq240	17q7.4	(15.7,1.7)
seq241	14q8.9	(3.0,5.7)
seq242	20p11.11	(1.7,17.2)
seq243	18q9.4	(25.4,1.0)
seq244	5q15.6	(12.2,25.7)
seq245	2p1.9	(22.0,25.3)
seq246	8q1.5	(30.5,19.5)
seq247	22p2.13	(13.0,12.6)
seq248	13q9.5	(14.2,9.3)
seq249	4p15.13	(31.0,25.1)
seq250	5p8.3	(6.0,9.0)
seq251	10q10.2	(14.9,26.4)
seq252	4q9.13	(11.2,11.5)
seq253	9q2.14	(17.1,13.7)
seq254	8q6.4	(14.9,14.4)
seq255	20q9.12	(16.5,12.4)
seq256	8q8.11	(7.1,7.4)
seq257	14q6.4	(26.2,6.0)
seq258	6q5.8	(3.4,22.0)
seq259	9q8.9	(14.7,9.7)
seq260	12q5.12	(2.2,2.5)
seq261	1q14.5	(13.4,17.8)
seq262	10q7.14	(14.8,29.0)
seq263	17p6.15	(5.8,26.2)
seq264	2p4.13	(10.0,4.2)
seq265	21p12.4	(2.7,12.5)
seq266	5p13.10	(5.7,8.8)
seq267	20q5.9	(29.6,29.7)
seq268	22p2.1	(8.4,21.0)
seq269	12q4.8	(23.1,16.8)
seq270	15p7.13	(29.8,19.9)
seq271	4q5.9	(28.8,2.9)
seq272	19p4.1	(23.3,15.7)
seq273	11p8.9	(19.6,18.2)
seq274	19p14.10	(16.4,27.5)
seq275	15p13.5	(25.7,29.0)
seq276	18p11.13	(2.4,23.1)
seq277	12p1.11	(10.9,28.8)
seq278	17p5.14	(14.0,16.3)
seq279	9p9.8	(4.7,26.6)
seq280	14p11.12	(9.2,3.0)
seq281	21p4.2	(30.6,20.6)
seq282	5p4.6	(28.6,4.5)
seq283	5p9.7	(18.5,16.9)
seq284	18p3.1	(26.2,7.0)
seq285	8q14.3	(6.7,7.1)
seq286	10p7.13	(26.6,22.3)
seq287	13p7.1	(22.9,30.9)
seq288	9q8.8	(20.0,5.1)
seq289	4q13.4	(26.8,16.0)
seq290	2p15.6	(19.8,24.9)
seq291	7q10.11	(25.7,14.0)
seq292	2p11.3	(17.0,3.6)
seq293	19p2.1	(21.0,17.2)
seq294	14p9.11	(21.8,0.4)
seq295	18p13.13	(3.3,29.0)
seq296	10p6.6	(13.3,4.6)
seq297	5p4.6	(21.1,5.6)
seq298	3p5.11	(3.6,28.9)
seq299	17p11.14	(0.9,19.6)
seq300	2p5.6	(23.4,2.6)
seq301	5p8.8	(1.9,16.9)
seq302	11p4.1	(20.4,9.1)
seq303	3p5.7	(14.7,3.8)
seq304	14p11.7	(7.8,10.7)
seq305	12q13.8	(31.4,26.5)
seq306	19p3.15	(29.7,2.5)
seq307	6q6.2	(13.3,14.8)
seq308	2q15.7	(16.2,18.5)
seq309	20q10.1	(18.0,5.4)
seq310	14p2.12	(22.2,3.2)
seq311	10p4.6	(9.9,11.9)
seq312	1q9.2	(28.0,10.4)
seq313	10p7.1	(30.2,12.4)
seq314	7q11.2	(30.2,9.1)
seq315	1q12.11	(17.7,9.2)
seq316	18p7.13	(13.5,3.2)
seq317	3p5.5	(16.7,20.9)
seq318	13p4.12	(9.9,30.1)
seq319	15p12.10	(17.1,2.6)
seq320	3p14.1	(13.7,22.5)
seq321	15q9.3	(10.8,23.6)
seq322	9p13.2	(28.0,23.0)
seq323	10p13.4	(30.1,15.4)
seq324	18q13.13	(10.9,4.1)
seq325	6q5.7	(29.0,29.1)
seq326	18q1.9	(13.6,31.0)
seq327	11q10.11	(1.4,14.9)
seq328	3p5.15	(5.5,30.8)
seq329	3p2.1	(31.0,16.9)
seq330	12p13.10	(11.7,11.3)
seq331	4p14.8	(27.7,26.0)
seq332	18p5.5	(28.7,15.2)
seq333	15p10.8	(3.2,3.6)
seq334	4q6.4	(11.7,8.0)
seq335	9p10.5	(16.3,6.4)
seq336	2q13.14	(19.7,20.5)
seq337	22q13.13	(25.5,15.4)
seq338	21p9.6	(14.0,20.1)
seq339	8p14.6	(24.5,3.9)
seq340	15p14.10	(16.5,30.8)
seq341	10q7.4	(1.5,4.3)
seq342	9p3.2	(11.9,14.6)
seq343	18p11.13	(28.4,12.4)
seq344	7q13.11	(23.1,2.6)
seq345	12p6.1	(15.7,5.0)
seq346	3p12.14	(20.1,30.9)
seq347	3q4.4	(17.4,4.7)
seq348	19p3.1	(15.2,26.6)
seq349	20q6.15	(21.0,6.4)
seq350	14p12.5	(18.8,25.7)
seq351	6q12.1	(5.7,17.3)
seq352	17p5.2	(10.1,31.2)
seq353	1q4.1	(23.6,1.9)
seq354	18p12.4	(7.7,12.7)
seq355	12q1.9	(29.8,24.6)
seq356	21p13.5	(8.1,20.8)
seq357	13q6.10	(19.4,22.2)
seq358	20q11.15	(23.9,31.6)
seq359	19p6.7	(10.2,10.5)
seq360	22p8.13	(30.5,30.0)
seq361	4q8.9	(27.0,13.8)
seq362	21q11.7	(18.5,17.0)
seq363	17p1.15	(29.4,16.0)
seq364	10p15.5	(29.5,3.6)
seq365	5q12.12	(17.4,10.0)
seq366	14q1.4	(9.5,30.1)
seq367	15p7.4	(20.6,27.3)
seq368	12q9.3	(22.1,29.2)
seq369	22q14.2	(4.3,16.2)
seq370	2q6.1	(5.1,16.5)
seq371	4p1.7	(16.8,25.4)
seq372	13q11.2	(17.1,5.0)
seq373	15p2.5	(12.8,18.5)
seq374	8p3.10	(11.9,20.1)
seq375	22q13.9	(7.1,12.9)
seq376	9p7.5	(18.8,3.4)
seq377	13p6.13	(18.2,0.3)
seq378	7p10.8	(19.2,2.9)
seq379	11p1.4	(8.6,6.1)
seq380	4p15.4	(15.9,26.6)
seq381	6p9.8	(17.0,17.9)
seq382	16p2.8	(14.4,24.4)
seq383	13p7.4	(16.5,12.6)
seq384	2q9.5	(20.6,6.8)
seq385	3q12.2	(13.5,6.4)
seq386	14q10.7	(8.9,7.1)
seq387	18q13.6	(28.7,17.6)
seq388	12p1.11	(18.1,25.1)
seq389	16p3.15	(7.1,8.5)
seq390	20p11.4	(0.4,14.0)
seq391	20q15.5	(5.7,16.9)
seq392	6q3.5	(19.7,23.1)
seq393	12p9.14	(2.0,3.8)
seq394	6q4.15	(6.1,6.6)
seq395	21p15.10	(12.1,23.5)
seq396	17q10.1	(16.0,7.3)
seq397	14p5.13	(2.3,4.1)
seq398	16p14.15	(3.7,1.2)
seq399	1q15.15	(30.9,11.1)
seq400	9q9.6	(28.8,21.4)
seq401	4p5.6	(6.2,6.4)
seq402	6q7.9	(8.8,23.6)
seq403	6p2.15	(21.8,8.1)
seq404	21q15.13	(0.6,22.3)
seq405	1p13.15	(20.7,22.6)
seq406	14p15.13	(10.7,7.3)
seq407	7q3.8	(8.5,4.9)
seq408	2p14.5	(7.8,23.2)
seq409	11p13.9	(5.1,24.5)
seq410	11q11.2	(22.1,24.1)
seq411	16p11.3	(16.1,22.1)
seq412	17q7.11	(4.4,15.1)
seq413	21q2.15	(2.7,15.4)
seq414	14q7.5	(17.1,18.2)
seq415	18p7.14	(22.6,8.7)
seq416	19q9.8	(25.0,23.9)
seq417	3p4.14	(22.1,5.3)
seq418	18q9.12	(16.9,1.3)
seq419	12p14.7	(10.4,7.0)
seq420	1p12.9	(26.1,2.8)
seq421	13q12.6	(14.8,2.8)
seq422	3p11.15	(14.5,16.3)
seq423	16p10.12	(9.6,16.9)
seq424	15p15.3	(14.2,4.5)
seq425	20q8.15	(24.6,21.0)
seq426	14p15.5	(21.2,18.5)
seq427	12p15.4	(18.4,27.6)
seq428	3p8.13	(16.3,5.8)
seq429	9p10.2	(27.9,27.1)
seq430	15p7.7	(1.6,11.6)
seq431	7p10.11	(15.1,11.3)
seq432	1q12.13	(2.9,26.2)
seq433	10p15.15	(13.9,29.9)
seq434	22p10.8	(26.8,15.1)
seq435	18q7.7	(21.0,5.8)
seq436	15q2.7	(22.4,18.7)
seq437	5p7.4	(14.3,0.2)
seq438	11p12.10	(23.1,31.1)
seq439	10p15.12	(5.4,0.6)
seq440	16q12.15	(21.1,21.3)
seq441	8p1.11	(3.5,10.5)
seq442	15p4.4	(17.7,12.1)
seq443	22q6.3	(17.2,19.5)
seq444	17p6.12	(16.2,27.7)
seq445	9p10.5	(18.0,2.7)
seq446	8p8.3	(19.6,2.1)
seq447	14p8.8	(13.9,18.4)
seq448	19q11.13	(14.7,26.7)
seq449	15p13.8	(28.6,10.8)
seq450	1q12.15	(30.1,26.1)
seq451	18p2.5	(28.6,8.1)
seq452	17q14.9	(0.4,7.7)
seq453	16p13.14	(9.3,30.6)
seq454	2q4.6	(11.6,11.5)
seq455	7p1.14	(26.9,13.5)
seq456	16q14.10	(17.9,29.4)
seq457	20q1.1	(15.4,2.6)
seq458	6q5.5	(14.6,29.8)
seq459	15p5.4	(3.3,17.2)
seq460	17p11.13	(14.3,24.3)
seq461	21p12.5	(13.8,30.3)
seq462	11q3.4	(20.3,13.1)
seq463	15p1.6	(29.7,8.4)
seq464	18q10.8	(23.2,28.1)
seq465	17p9.13	(12.8,15.1)
seq466	13q11.3	(19.1,31.4)
seq467	1q2.4	(17.1,31.3)
seq468	20q13.6	(26.4,9.9)
seq469	12q4.14	(17.3,19.7)
seq470	2q15.11	(3.4,10.0)
seq471	14q3.11	(8.1,14.7)
seq472	22q6.14	(17.2,15.7)
seq473	13p14.11	(12.8,2.9)
seq474	2p4.1	(8.6,2.4)
seq475	10p3.2	(10.7,12.7)
seq476	19p7.8	(18.2,17.1)
seq477	14q14.9	(15.7,27.8)
seq478	1q5.14	(11.4,10.9)
seq479	6p7.14	(17.2,20.9)
seq480	6p14.5	(15.6,29.9)
seq481	9p2.14	(23.8,9.7)
seq482	1q11.11	(15.1,26.0)
seq483	16q5.12	(21.5,18.2)
seq484	1q2.8	(1.9,27.4)
seq485	22q6.5	(1.0,18.9)
seq486	22q3.14	(29.7,20.8)
seq487	4q11.5	(7.4,8.2)
seq488	4q2.4	(1.2,24.7)
seq489	13q8.8	(8.7,20.2)
seq490	14p5.13	(26.4,14.0)
seq491	10p7.11	(6.3,30.2)
seq492	11p8.10	(30.8,16.3)
seq493	21q15.7	(4.8,21.3)
seq494	21p12.3	(9.2,30.7)
seq495	20p9.11	(1.3,18.4)
seq496	18p8.10	(5.6,16.6)
seq497	15q8.3	(15.7,0.3)
seq498	15q3.9	(11.2,17.5)
seq499	5p7.10	(19.5,18.6)
seq500	5p15.8	(26.3,6.3)
seq501	14p3.1	(20.0,3.7)
seq502	15p15.13	(20.6,22.6)
seq503	17q6.11	(31.3,26.0)
seq504	19p11.8	(0.6,5.8)
seq505	15q14.9	(13.5,22.4)
seq506	8q9.2	(21.0,1.8)
seq507	8q2.11	(8.3,10.1)
seq508	2q15.7	(21.6,13.1)
seq509	9q15.2	(7.9,18.3)
seq510	9p10.12	(22.5,12.3)
seq511	3q14.10	(14.9,17.0)
seq512	8p15.11	(13.4,17.2)
seq513	13q9.3	(27.2,29.1)
seq514	13p9.4	(11.7,18.1)
seq515	13q8.6	(15.8,26.2)
seq516	7p1.4	(27.7,19.5)
seq517	8q15.15	(11.2,29.6)
seq518	19p15.12	(24.7,16.8)
seq519	12p4.13	(15.0,10.6)
seq520	15p1.15	(11.7,26.0)
seq521	17p15.4	(22.5,27.2)
seq522	7p7.4	(11.5,18.5)
seq523	21p9.12	(13.7,9.2)
seq524	3q3.11	(31.3,11.8)
seq525	9q1.9	(28.2,17.2)
seq526	22q12.1	(4.4,11.8)
seq527	11p10.4	(30.7,11.9)
seq528	19q12.8	(1.1,12.6)
seq529	3q14.8	(3.3,20.0)
seq530	5q15.9	(2.6,23.9)
seq531	16q5.6	(26.7,24.1)
seq532	22p10.3	(7.3,10.7)
seq533	5p5.5	(14.7,23.2)
seq534	5p10.4	(13.9,29.1)
seq535	15p14.5	(19.3,8.5)
seq536	14q11.14	(13.6,20.1)
seq537	10q4.6	(21.9,9.1)
seq538	19p12.11	(21.9,27.9)
seq539	21q9.6	(9.6,26.9)
seq540	5q15.11	(2.0,27.0)
seq541	17p7.5	(10.8,16.1)
seq542	2q9.10	(8.7,16.2)
seq543	15q5.3	(5.9,10.3)
seq544	1p8.1	(2.0,3.0)
seq545	13q10.4	(21.5,26.6)
seq546	3p13.5	(17.0,26.4)
seq547	12p2.9	(27.2,21.2)
seq548	5q8.8	(26.6,19.2)
seq549	6p8.2	(21.3,11.4)
seq550	11q6.1	(6.3,15.6)
seq551	14p2.3	(7.4,18.7)
seq552	11q3.10	(27.6,23.9)
seq553	18q12.2	(31.5,14.4)
seq554	22q1.9	(23.6,15.7)
seq555	7p6.13	(16.6,24.9)
seq556	22p11.3	(25.4,15.1)
seq557	18q13.15	(24.7,24.2)
seq558	10p1.1	(15.6,28.6)
seq559	1p4.4	(0.2,26.5)
seq560	6p5.15	(24.1,19.3)
seq561	6q8.4	(14.4,28.4)
seq562	16p4.8	(4.7,17.6)
seq563	11p9.6	(22.2,21.1)
seq564	15q10.5	(5.3,20.5)
seq565	10q2.4	(14.0,13.7)
seq566	20p3.3	(11.6,0.5)
seq567	6p11.3	(0.3,28.0)
seq568	15p9.9	(8.1,26.0)
seq569	4q4.12	(7.6,17.2)
seq570	5p4.15	(13.8,1.9)
seq571	4q10.10	(16.8,11.0)
seq572	14p5.4	(2.3,6.2)
seq573	21p14.6	(27.5,28.8)
seq574	21p11.7	(3.6,30.2)
seq575	4q14.2	(24.1,30.0)
seq576	5p1.11	(18.8,19.8)
seq577	6q9.12	(23.7,13.8)
seq578	8p9.15	(20.9,8.9)
seq579	7q11.11	(1.4,1.2)
seq580	4q5.13	(18.9,16.9)
seq581	18p11.14	(25.2,27.1)
seq582	7q8.3	(23.2,20.0)
seq583	10p7.14	(16.1,20.6)
seq584	11p10.10	(14.5,12.6)
seq585	8p14.7	(8.6,27.6)
seq586	17p15.4	(26.8,0.8)
seq587	22q3.4	(13.7,15.7)
seq588	9p9.10	(6.0,13.8)
seq589	2q12.3	(28.4,17.2)
seq590	22q9.2	(13.2,25.7)
seq591	19q11.13	(13.6,9.0)
seq592	1p9.14	(30.3,30.7)
seq593	19p2.13	(5.6,5.4)
seq594	14p3.5	(13.7,27.3)
seq595	12q11.8	(17.0,15.5)
seq596	16q3.14	(27.5,9.9)
seq597	2p10.1	(16.0,18.0)
seq598	18p7.8	(22.5,31.2)
seq599	20p5.11	(7.0,13.3)
seq600	2q15.1	(5.3,27.7)
seq601	3q13.12	(7.7,15.3)
seq602	20p13.10	(15.8,4.7)
seq603	20p2.11	(9.8,16.9)
seq604	15q3.6	(13.6,24.2)
seq605	21p6.9	(6.7,3.7)
seq606	4p2.13	(12.0,18.2)
seq607	12q8.12	(1.3,6.8)
seq608	6p12.11	(30.5,28.1)
seq609	20p5.15	(2.0,25.4)
seq610	11p6.4	(23.7,13.2)
seq611	9q5.10	(25.2,13.9)
seq612	17p9.9	(4.4,24.2)
seq613	17q3.6	(6.7,21.5)
seq614	15q8.1	(9.0,1.6)
seq615	14p14.4	(28.2,25.0)
seq616	18q3.13	(0.4,3.2)
seq617	2q15.7	(22.9,27.6)
seq618	10p13.10	(11.1,26.9)
seq619	7q14.13	(15.0,23.3)
seq620	2q11.11	(22.0,28.8)
seq621	7q10.11	(28.5,28.3)
seq622	3q4.9	(12.9,25.6)
seq623	10q7.9	(25.3,31.3)
seq624	20p11.6	(22.2,26.9)
seq625	22p11.13	(10.5,1.3)
seq626	14q14.7	(16.2,10.1)
seq627	22p10.3	(29.6,29.2)
seq628	5q12.11	(26.1,8.7)
seq629	2p9.10	(27.2,17.1)
seq630	19p11.3	(8.0,3.6)
seq631	5q8.13	(7.2,24.5)
seq632	17p12.11	(5.9,16.2)
seq633	3q5.6	(14.7,16.8)
seq634	4q8.9	(7.5,19.1)
seq635	17p7.7	(28.0,26.2)
seq636	7p11.10	(4.6,20.5)
seq637	1p4.3	(0.7,16.2)
seq638	18q5.5	(24.2,9.2)
seq639	1q6.4	(1.0,4.6)
seq640	21p14.13	(30.4,30.5)
seq641	21p4.11	(31.3,4.2)
seq642	17p14.11	(7.7,8.3)
seq643	4q5.5	(0.8,26.4)
seq644	16p12.15	(22.3,0.4)
seq645	4p7.13	(2.5,14.4)
seq646	9p11.3	(20.8,26.2)
seq647	20p9.13	(18.3,2.3)
seq648	12p4.12	(6.7,25.7)
seq649	21q4.10	(13.5,15.8)
seq650	21p14.11	(20.5,18.7)
seq651	19q14.14	(12.9,0.2)
seq652	19q14.5	(16.6,4.4)
seq653	20q11.7	(22.3,25.4)
seq654	4q10.1	(20.1,31.3)
seq655	19p5.1	(0.9,20.3)
seq656	5q10.8	(11.3,22.6)
seq657	20q14.2	(3.8,6.1)
seq658	16p9.3	(26.5,14.6)
seq659	18p3.12	(29.9,19.9)
seq660	6q4.15	(30.2,26.6)
seq661	17q1.8	(1.1,27.8)
seq662	5q12.11	(24.0,3.3)
seq663	13p7.14	(27.9,14.4)
seq664	13p13.9	(10.5,14.3)
seq665	1q7.6	(18.9,3.7)
seq666	2p11.5	(30.1,27.5)
seq667	8q11.3	(3.9,4.6)
seq668	19q13.12	(24.2,22.8)
seq669	13q8.2	(17.6,25.8)
seq670	2p2.13	(22.8,7.7)
seq671	15q15.10	(23.0,14.5)
seq672	1q7.5	(29.1,0.4)
seq673	20p11.2	(27.1,23.9)
seq674	21p5.2	(21.7,1.6)
seq675	17q2.13	(24.5,25.4)
seq676	1q11.13	(26.3,15.2)
seq677	16p6.3	(3.7,14.0)
seq678	6q11.7	(30.8,10.2)
seq679	18p6.12	(6.4,23.8)
seq680	8q13.7	(17.4,26.6)
seq681	16q15.7	(19.9,20.2)
seq682	4p7.4	(18.8,10.2)
seq683	19q1.5	(3.3,26.0)
seq684	3p7.13	(27.3,13.1)
seq685	8p12.11	(22.8,12.9)
seq686	4p15.2	(26.4,8.1)
seq687	1p12.4	(16.1,12.7)
seq688	1p3.11	(26.3,15.6)
seq689	9p14.11	(25.9,24.4)
seq690	3p3.10	(11.0,21.9)
seq691	21q7.7	(18.6,10.8)
seq692	13q12.10	(12.2,9.9)
seq693	22q13.12	(13.8,14.7)
seq694	13p12.4	(9.3,16.6)
seq695	18q7.11	(12.8,20.1)
seq696	15p14.12	(21.4,15.7)
seq697	4q5.12	(0.4,7.1)
seq698	17q11.8	(22.8,5.2)
seq699	17p15.8	(20.8,21.2)
